Crop Type,Season,Soil Type,Farm Size,Soil Ph,Soil Moisture (%),Rainfall (mm),Avg Temperature (°C),Irrigation Type,Fertilizer Used (kg),Pesticide Used (kg),Seed Quality,Farming Practice,Farmer Experience (years),Access to Credit,Govt. Subsidy Received,Expected Yield (kg per acre),Actual Yield (kg per acre),Yield Success
Rice,Kharif,Loamy,2.07,7.1,28.9,531.1,35.1,Sprinkler,115.6,9.2,Certified,Conventional,6,1,0,3275,3870,1
Sugarcane,Rabi,Black,10.33,6.4,79.1,835.6,19.2,Sprinkler,100.3,1.69,Hybrid,Conventional,23,0,1,32321,46439,1
Wheat,Rabi,Sandy,18.62,5.8,32.5,729.6,38.6,Drip,103.9,4.48,Certified,Mixed,19,1,1,2085,3055,1
Rice,Rabi,Clay,3,5.3,27.8,1482.5,29,Flood,28.9,3.77,Certified,Mixed,8,1,0,2004,3840,1
Rice,Kharif,Silty,15.52,6.1,32.2,272.7,24.3,Flood,39.8,5.23,Hybrid,Conventional,39,0,1,2213,3355,1
Maize,Kharif,Loamy,8.78,5.3,66.1,384.8,23.8,Drip,41.4,4.85,Certified,Conventional,13,1,0,2362,1591,0
Maize,Rabi,Silty,13.45,5.6,45.5,268.7,29.6,Rainfed,39.8,5.43,Local,Conventional,1,1,0,3010,2693,0
Rice,Zaid,Clay,5.94,8.5,53.9,1013.6,39.3,Rainfed,104.1,1.83,Hybrid,Mixed,6,0,0,2720,2162,0
Wheat,Rabi,Clay,4.03,6.6,21.3,270.9,27.1,Flood,13.5,5.37,Local,Organic,7,1,1,1745,2965,1
Rice,Kharif,Black,4.05,6.9,22.1,1287.4,36,Sprinkler,18.4,2.8,Hybrid,Mixed,27,0,1,2551,1748,0
Maize,Rabi,Loamy,2.34,8.1,46.7,865.5,20.3,Flood,40.1,2.25,Local,Conventional,15,0,1,1978,2867,1
Rice,Rabi,Black,4.53,8.5,69,885.1,29.4,Sprinkler,32,1.12,Hybrid,Conventional,34,1,1,2671,2751,1
Maize,Rabi,Loamy,13.62,7,73.1,930.1,41.8,Sprinkler,35.5,7.75,Hybrid,Organic,23,0,0,2625,2864,1
Wheat,Kharif,Sandy,17.75,7.8,25.2,422.1,36.5,Flood,97.8,4.56,Local,Conventional,24,1,0,1678,1697,1
Cotton,Rabi,Silty,16.47,6.1,52.3,457,23.1,Drip,71.9,6.45,Hybrid,Conventional,15,0,1,421,383,0
Rice,Rabi,Sandy,14.02,6.1,74.8,614.5,30,Drip,10.6,7.41,Certified,Organic,35,0,1,2024,4060,1
Wheat,Zaid,Loamy,3.1,6.4,43.3,971.5,23.6,Drip,57.2,6.95,Hybrid,Conventional,4,0,1,1729,3244,1
Rice,Kharif,Loamy,6.49,7.4,69.8,473.2,27.8,Drip,54.9,4.97,Local,Mixed,37,1,0,3226,3702,1
Cotton,Rabi,Clay,6.89,7.4,28,351.2,36.7,Drip,22.5,4.19,Local,Conventional,17,0,0,521,295,0
Sugarcane,Zaid,Loamy,5.75,6.1,76.1,1461.2,36.5,Rainfed,84.4,4.07,Hybrid,Conventional,31,1,0,33162,45759,1
Rice,Kharif,Silty,10.79,5.5,65.1,228.6,23.5,Sprinkler,87.2,6.58,Hybrid,Organic,38,1,0,2869,2758,0
Maize,Zaid,Black,11.18,7.2,76.5,1243.5,40.1,Drip,89.3,5.2,Local,Mixed,10,0,0,2130,3407,1
Sugarcane,Rabi,Black,7.78,5.4,60.6,1224.4,32.2,Sprinkler,90.1,8.57,Certified,Mixed,27,1,0,29549,38415,1
Maize,Kharif,Silty,7.72,7,41.8,586.4,27.1,Rainfed,10,8.81,Hybrid,Conventional,6,0,1,1910,2336,1
Wheat,Kharif,Silty,16.74,7.4,76.3,376.3,30,Flood,114.9,2.12,Certified,Conventional,6,1,0,2732,3411,1
Rice,Rabi,Silty,16,7.5,36.5,389.3,32.5,Sprinkler,99.6,1.79,Hybrid,Conventional,15,0,1,2106,4320,1
Rice,Kharif,Loamy,6.85,7.6,39.9,1106.7,31.4,Rainfed,109.4,6.49,Hybrid,Conventional,4,1,0,3245,3137,0
Sugarcane,Rabi,Black,18.36,8.1,62,1035.6,29.7,Sprinkler,11.7,3.36,Certified,Conventional,7,1,1,25166,31520,1
Cotton,Kharif,Silty,19.1,6.7,65.9,1217.6,30.1,Sprinkler,112.7,0.68,Certified,Mixed,26,1,0,334,648,1
Maize,Rabi,Sandy,7.21,7.6,75.8,1418.7,22.2,Sprinkler,99.1,8.94,Hybrid,Conventional,31,0,1,2615,2373,0
Wheat,Kharif,Clay,7.73,7.2,32.3,1099.5,37.5,Sprinkler,102.1,2.66,Certified,Conventional,2,1,0,2624,1838,0
Wheat,Zaid,Loamy,10.61,5.7,67.9,402.6,31,Sprinkler,20.3,9.33,Certified,Conventional,28,0,1,2075,3649,1
Maize,Zaid,Loamy,18.88,5.1,64.3,516.5,21.1,Flood,91.3,7.32,Local,Mixed,13,1,0,3191,1515,0
Sugarcane,Zaid,Black,17.65,6,23.8,1294.9,36.4,Sprinkler,115.6,7.75,Certified,Organic,18,1,0,33020,35095,1
Sugarcane,Rabi,Sandy,2.95,6.6,43.2,472.1,40.4,Flood,84.6,2.41,Hybrid,Conventional,30,1,1,29094,25432,0
Sugarcane,Kharif,Loamy,8.46,7.2,37,294.3,40.7,Drip,72.8,2.72,Local,Conventional,11,1,0,38721,32350,0
Maize,Rabi,Black,11.51,8,38.3,1114.3,26.9,Drip,114,5.45,Certified,Conventional,13,0,0,3147,1886,0
Rice,Kharif,Clay,10.56,5.7,79,723.3,21.3,Flood,58.7,2.13,Hybrid,Mixed,24,0,1,2220,3759,1
Rice,Kharif,Loamy,4.68,5.4,58.6,1396.1,30.4,Rainfed,75.9,3.4,Hybrid,Organic,29,1,0,2995,2707,0
Sugarcane,Kharif,Clay,17.32,8.4,63.1,1045.3,20.7,Sprinkler,62.4,3.55,Local,Mixed,5,0,0,31549,26867,0
Maize,Rabi,Silty,13.86,5.4,78.6,317.5,40.4,Flood,112.6,2.02,Local,Organic,35,0,0,2952,1500,0
Rice,Rabi,Black,16.92,6.7,42.6,1432.2,22.4,Sprinkler,18.4,2.45,Local,Organic,19,1,1,2446,2457,1
Rice,Rabi,Loamy,17.32,7,68.1,536.1,24.1,Drip,65.1,7.99,Local,Mixed,13,1,0,2655,3586,1
Maize,Kharif,Black,15.22,6.9,46.1,638.4,27.8,Drip,85.6,2.09,Certified,Conventional,5,1,0,2120,3553,1
Rice,Kharif,Loamy,9.35,5.3,72.2,722.9,27.2,Sprinkler,97.1,0.77,Certified,Conventional,14,1,1,2446,3448,1
Rice,Zaid,Black,12.6,5.2,30.8,266.6,37.1,Drip,74.1,6.48,Hybrid,Conventional,38,1,0,2369,4045,1
Wheat,Kharif,Silty,4.05,5.4,76.9,845.5,29,Drip,110,9.77,Certified,Conventional,22,1,1,2981,3575,1
Maize,Rabi,Black,13.8,7,33.1,360.3,22.1,Rainfed,113.6,3.65,Hybrid,Conventional,9,0,1,2488,2305,0
Maize,Kharif,Clay,4.41,6.9,39.6,721.3,24.4,Drip,17.1,1.63,Hybrid,Mixed,26,1,0,1962,2774,1
Rice,Rabi,Black,14.19,5.8,65.4,655.9,30.2,Flood,54.3,5.92,Certified,Mixed,5,1,0,2349,3271,1
Maize,Rabi,Silty,5.36,7.2,43.6,1204.7,21.5,Sprinkler,12.6,9.11,Local,Conventional,29,1,0,2225,1653,0
Rice,Kharif,Loamy,3.23,7.9,56.5,1244.1,32.7,Flood,46.2,7.95,Certified,Conventional,22,1,1,2254,3900,1
Wheat,Kharif,Black,4.14,5.1,46.7,399.4,31.6,Flood,69.1,6.41,Hybrid,Conventional,3,1,1,1943,1444,0
Maize,Rabi,Loamy,1.04,6.7,64.5,676.5,35.2,Sprinkler,110.2,3.49,Hybrid,Conventional,28,0,1,2488,2960,1
Maize,Rabi,Black,14.66,7.4,33.7,685.4,40.5,Sprinkler,103.1,5.65,Hybrid,Organic,38,1,0,2994,2493,0
Sugarcane,Kharif,Clay,14.92,5.9,23.5,396.8,39.9,Flood,24,1.37,Hybrid,Conventional,14,0,0,38537,47121,1
Maize,Zaid,Silty,10.78,6.1,38,1238,40.7,Rainfed,20.2,6.95,Certified,Organic,14,1,0,2363,3319,1
Maize,Kharif,Sandy,4.07,7.1,48.5,1119.4,23.9,Drip,74.8,7.39,Hybrid,Organic,11,0,1,2639,3991,1
Rice,Kharif,Clay,2.59,8.1,30.1,447.5,21.2,Drip,68.5,9.67,Local,Organic,9,0,0,3437,1556,0
Wheat,Zaid,Loamy,1.36,7.8,41.3,676.7,25.3,Rainfed,39.3,2.97,Local,Conventional,38,1,0,2448,1619,0
Rice,Kharif,Clay,4.15,7,44,337.5,39.5,Sprinkler,108.9,0.68,Hybrid,Mixed,6,0,0,3420,3365,0
Rice,Rabi,Loamy,17.93,7.6,23.4,1016.7,41.3,Flood,112,5.68,Hybrid,Conventional,1,1,1,2909,2018,0
Cotton,Kharif,Loamy,5.59,6.3,55,357.8,38.6,Sprinkler,54.3,7.21,Hybrid,Conventional,25,0,0,311,767,1
Wheat,Kharif,Sandy,7.73,7.2,73.1,1481.7,20.6,Drip,107.9,8.01,Local,Organic,16,1,1,2852,1361,0
Sugarcane,Zaid,Loamy,3,6.6,29.1,1214.9,40.7,Flood,52.2,2.34,Certified,Conventional,15,0,1,28086,33527,1
Maize,Kharif,Loamy,5.22,5.7,55.9,707.3,28.2,Flood,91,2.99,Hybrid,Conventional,34,0,1,2573,3357,1
Sugarcane,Zaid,Silty,10.87,7.5,59.9,952.1,18.2,Sprinkler,62.4,5.37,Local,Conventional,17,0,1,28963,19628,0
Wheat,Kharif,Clay,12.55,6.9,45.2,1384.7,28.6,Flood,23.5,3.64,Hybrid,Mixed,3,1,1,2111,3217,1
Maize,Kharif,Black,5.66,6.3,62.1,920.3,19.1,Rainfed,112.1,8.67,Certified,Organic,3,1,1,2997,2884,0
Wheat,Kharif,Black,2.1,8.2,44.6,426.8,31.1,Flood,60,5,Hybrid,Conventional,37,0,1,1559,1477,0
Rice,Rabi,Silty,8.43,5.1,50.3,692.3,26.1,Drip,90.8,8.1,Certified,Conventional,17,0,0,3010,3567,1
Maize,Kharif,Sandy,5.45,6.1,20.4,1296.1,29.4,Flood,50.4,6.02,Hybrid,Mixed,38,0,1,3007,3283,1
Rice,Zaid,Black,5.17,5.2,61.5,1037.5,32.7,Flood,12.1,7.84,Hybrid,Mixed,1,1,0,3311,3432,1
Rice,Rabi,Clay,19.24,7.7,59.7,1045.9,38.9,Rainfed,21.1,3.66,Local,Mixed,7,0,1,3497,3328,0
Maize,Zaid,Clay,12.71,7.5,22.3,1326.9,33.9,Flood,64.6,8.4,Hybrid,Conventional,26,1,0,2745,3592,1
Rice,Kharif,Loamy,11.58,6.2,42.1,1362.2,28.4,Drip,85.9,3.11,Certified,Mixed,39,1,0,2159,4658,1
Cotton,Zaid,Silty,8.9,7.4,78.7,1395.7,37.7,Flood,46.8,5.69,Certified,Organic,19,1,1,561,554,0
Cotton,Rabi,Clay,9.15,6.4,45.2,323.3,39.7,Flood,86.5,2.53,Local,Organic,30,1,0,509,346,0
Cotton,Rabi,Sandy,11.28,7.6,50.1,907.4,20.9,Drip,86.8,5.02,Certified,Mixed,14,0,1,518,471,0
Wheat,Rabi,Black,14.23,6.6,74.6,1162.7,30.8,Flood,87.4,3.52,Hybrid,Mixed,13,1,0,2439,3656,1
Rice,Rabi,Black,14.34,6.4,63,1184,24.8,Sprinkler,64.2,3.03,Certified,Organic,20,0,0,3137,2276,0
Cotton,Rabi,Sandy,4.26,8.3,54.9,988.7,19.1,Flood,110.6,9.69,Local,Organic,26,0,1,504,212,0
Wheat,Kharif,Clay,10.5,5.9,67.9,416.8,34,Sprinkler,63.8,2.02,Hybrid,Organic,27,1,1,2469,1476,0
Cotton,Kharif,Black,8.83,5.4,71.9,1236.6,38.7,Flood,59.5,7.98,Hybrid,Organic,25,1,1,554,412,0
Cotton,Zaid,Sandy,17.54,7,47.4,1136.1,21.9,Rainfed,31.9,9.85,Hybrid,Conventional,9,0,1,383,624,1
Sugarcane,Rabi,Clay,13,8.4,48.5,312,37.5,Rainfed,43.8,0.69,Local,Mixed,12,1,0,25088,29750,1
Rice,Rabi,Clay,11.12,6.3,43.2,803,38.5,Rainfed,14.7,7.14,Hybrid,Conventional,10,0,0,2398,3201,1
Wheat,Rabi,Black,3.19,5.2,78,426.2,39.9,Rainfed,79.7,2.9,Hybrid,Mixed,6,0,1,2575,1875,0
Sugarcane,Kharif,Silty,12.51,6.2,61.8,638.7,24.4,Drip,37.3,0.88,Local,Mixed,34,1,1,37874,45964,1
Wheat,Kharif,Black,3.23,6.8,25,223.5,39.7,Flood,43.5,4.33,Local,Conventional,19,1,1,1554,1394,0
Rice,Rabi,Black,7.41,5.6,71.8,720.4,25.7,Flood,94.8,9.38,Certified,Mixed,6,1,1,3092,2618,0
Maize,Kharif,Sandy,3.71,7.3,48.8,914.8,31.3,Rainfed,46,0.61,Local,Conventional,2,0,0,2975,3037,1
Cotton,Kharif,Sandy,14.15,8.5,24.1,1005.5,19.2,Sprinkler,36.6,6.08,Certified,Conventional,15,1,1,350,247,0
Maize,Rabi,Loamy,4.92,6.6,53,1062.5,19.1,Rainfed,28.6,5.26,Hybrid,Conventional,17,1,0,2159,1487,0
Maize,Kharif,Loamy,8.45,6.2,45,1287.2,35.3,Flood,95.2,8.8,Local,Conventional,16,1,1,3054,2917,0
Rice,Rabi,Loamy,18.02,6.4,72.7,480.1,28.7,Rainfed,24.3,1.3,Certified,Mixed,28,0,1,3294,3423,1
Maize,Kharif,Silty,4.88,5.4,32.2,356.6,24.2,Drip,59.9,6.97,Certified,Mixed,21,1,0,1827,3181,1
Cotton,Rabi,Sandy,10.65,8.1,69.6,1307,22.6,Drip,65.8,6.96,Certified,Conventional,8,1,0,393,277,0
Rice,Kharif,Black,8.97,6.5,53.5,403.6,34.1,Rainfed,85.6,6.86,Hybrid,Mixed,10,0,1,2579,4211,1
Wheat,Rabi,Loamy,1.34,6.4,23.3,1467.2,18,Drip,79.7,9.45,Hybrid,Organic,10,0,0,1934,2868,1
Sugarcane,Kharif,Sandy,16.06,7.3,78.3,1295.3,37.3,Rainfed,99.2,8.32,Hybrid,Mixed,10,0,0,32557,29582,0
Maize,Kharif,Sandy,2.31,6.5,50.8,851.1,19.9,Drip,14.9,0.9,Local,Conventional,9,0,1,2747,1635,0
Maize,Kharif,Sandy,10.01,7.3,37.5,1475.8,22.6,Flood,42.6,4.98,Hybrid,Organic,28,0,0,1825,2582,1
Maize,Rabi,Silty,11.65,5.2,48.2,326.6,27.3,Sprinkler,40.8,4.28,Certified,Conventional,24,0,0,2837,3126,1
Wheat,Rabi,Loamy,12.94,7.8,71.5,594,29.6,Flood,26.1,3.45,Local,Conventional,19,0,1,2383,3100,1
Rice,Kharif,Sandy,14.08,8.3,38.3,1029.7,26.5,Flood,41.8,4.79,Certified,Organic,33,0,0,3351,3099,0
Sugarcane,Rabi,Clay,5.81,7.3,31.6,655,25.7,Sprinkler,44.1,4.15,Certified,Mixed,4,0,1,29055,37729,1
Sugarcane,Zaid,Loamy,1.19,8.3,27.7,1406.9,41.1,Drip,67.4,4.61,Certified,Organic,3,1,1,31569,45552,1
Sugarcane,Rabi,Loamy,14.75,5.5,37.9,285.3,33.4,Drip,83,9.8,Hybrid,Mixed,12,1,0,35068,45775,1
Cotton,Kharif,Silty,11.18,6.7,66.8,914.2,18.6,Flood,51.9,1.34,Certified,Mixed,18,0,0,594,343,0
Wheat,Rabi,Black,16.89,7.1,48.3,968.1,28.3,Flood,89.1,9.26,Certified,Conventional,23,1,0,1574,3586,1
Wheat,Kharif,Sandy,16.61,7,33.6,1048.5,39,Flood,47,5.06,Certified,Conventional,20,0,1,2384,3278,1
Sugarcane,Kharif,Silty,17.02,6.4,30,532.4,25.2,Flood,41.9,6.43,Certified,Mixed,6,1,1,28550,43006,1
Maize,Zaid,Sandy,10.22,6.2,40,673.9,20.3,Flood,69.5,8.39,Hybrid,Conventional,34,0,0,2632,2512,0
Maize,Kharif,Sandy,7.34,5.4,76.4,1296.8,36.2,Sprinkler,12.6,3.92,Local,Conventional,2,1,1,2099,3044,1
Sugarcane,Rabi,Clay,16.04,6.4,40.6,453.4,32.5,Drip,18.8,4.59,Local,Conventional,30,0,0,39947,30173,0
Sugarcane,Rabi,Loamy,9.57,5.6,79.3,1274.9,31.7,Sprinkler,56,4.39,Certified,Conventional,9,0,0,38695,22312,0
Wheat,Rabi,Loamy,4.49,7.6,49.1,931.5,19.3,Rainfed,113.7,4.06,Certified,Mixed,27,1,0,1962,3033,1
Wheat,Rabi,Loamy,17.24,5.7,30.7,1190.8,21.4,Rainfed,89.4,9.29,Local,Conventional,34,1,1,2481,3429,1
Rice,Kharif,Clay,17.77,5.2,73.5,1127.7,32.9,Sprinkler,19.7,8.37,Certified,Conventional,24,1,1,2596,2226,0
Maize,Kharif,Clay,9.86,6.9,47.6,469.8,23,Flood,103.1,1.54,Local,Conventional,17,1,0,1870,2277,1
Rice,Rabi,Loamy,2.44,7.1,62.6,939.5,30.1,Rainfed,90.6,1.53,Certified,Mixed,29,1,0,2972,2003,0
Wheat,Kharif,Black,8.37,8.1,79,1328,31.1,Flood,77.2,4.56,Local,Mixed,36,1,0,2537,2491,0
Wheat,Kharif,Loamy,16.27,7,23,761.8,24.8,Drip,100.2,1.44,Certified,Conventional,12,0,1,1984,1598,0
Rice,Kharif,Loamy,18.13,6.2,25.8,1456.6,40.8,Drip,54.5,6.38,Hybrid,Organic,31,1,0,2245,4675,1
Maize,Kharif,Clay,4.87,7.8,63.2,787.9,38.2,Flood,34.4,1.87,Hybrid,Organic,9,0,0,3123,2970,0
Rice,Kharif,Sandy,2.27,6.9,36.9,385.6,35.3,Rainfed,66.3,5.46,Hybrid,Conventional,19,1,1,2846,3704,1
Rice,Kharif,Loamy,17.67,5.3,31.1,706.3,19.9,Flood,70.4,0.57,Certified,Conventional,17,0,0,3272,2371,0
Sugarcane,Rabi,Loamy,8.4,7,22.4,1437.2,20.5,Drip,69.2,3.51,Hybrid,Mixed,2,1,0,33989,43954,1
Wheat,Rabi,Sandy,11.29,8.2,21.3,615.6,29.8,Drip,72.2,6.93,Hybrid,Conventional,5,0,1,2904,1348,0
Rice,Rabi,Clay,19.39,6.4,66.5,1328.5,21.9,Rainfed,114.4,5.1,Certified,Conventional,39,0,1,3284,1812,0
Wheat,Kharif,Clay,2.26,6,28.1,1345.6,41.5,Rainfed,109.2,9.79,Certified,Mixed,16,0,0,2763,1796,0
Sugarcane,Kharif,Loamy,13.32,5.5,48.1,655.2,21.8,Flood,106.3,8.8,Hybrid,Conventional,17,1,0,39776,25974,0
Rice,Kharif,Clay,2.41,5.5,56.4,308.2,29.7,Flood,98.2,3.91,Certified,Conventional,27,0,0,2132,3853,1
Maize,Rabi,Clay,8.13,6.5,45.7,1141.9,26.7,Drip,113.8,0.93,Hybrid,Organic,7,1,1,2495,2291,0
Rice,Rabi,Loamy,16.27,7.1,21.6,605,33.3,Rainfed,20.8,8.53,Certified,Conventional,8,1,1,2866,2874,1
Rice,Kharif,Black,9.24,5.3,67,1217.8,21.1,Rainfed,39.2,9.16,Hybrid,Mixed,8,1,0,2105,2162,1
Wheat,Zaid,Sandy,19.95,8.3,20.6,775.5,28.3,Sprinkler,64.5,8.3,Certified,Conventional,23,1,0,2765,1988,0
Wheat,Kharif,Sandy,11.62,7.6,65.7,830.8,24.6,Flood,103.1,1.72,Hybrid,Conventional,32,1,1,2289,1900,0
Maize,Rabi,Loamy,7.1,7.1,73.6,1211.3,39.3,Sprinkler,65.6,9.98,Certified,Conventional,18,0,0,2884,2527,0
Maize,Rabi,Black,5.18,7.9,46,697.1,19,Drip,92.3,2.96,Certified,Mixed,38,1,1,2101,4217,1
Cotton,Zaid,Loamy,7.66,5.3,52.1,776.1,39.9,Sprinkler,25.3,7.38,Certified,Conventional,12,1,1,438,330,0
Wheat,Rabi,Clay,8.08,6.7,48.6,689,38,Drip,37.8,9.13,Local,Conventional,15,1,1,1954,2131,1
Wheat,Rabi,Sandy,2.31,7.2,43.4,677.5,25.1,Sprinkler,90.5,2.74,Certified,Mixed,28,0,1,2699,3475,1
Sugarcane,Kharif,Clay,8.02,7.9,73.2,883.7,36.9,Flood,28.1,9.13,Hybrid,Organic,38,0,0,28824,26163,0
Rice,Rabi,Loamy,9.82,7.7,73.6,1251.4,18.7,Flood,48.6,3.44,Certified,Mixed,31,1,0,3229,3864,1
Wheat,Kharif,Sandy,14.73,6,40.1,670.3,41.2,Flood,39.1,9.78,Certified,Conventional,9,0,0,2209,3021,1
Rice,Zaid,Black,13.48,8.3,56.9,881.5,30.6,Sprinkler,48.5,3.17,Hybrid,Conventional,8,1,0,2106,4310,1
Rice,Rabi,Loamy,14.47,5.4,75.6,1071.9,25.3,Drip,87.9,9.56,Hybrid,Conventional,19,1,1,2596,2087,0
Cotton,Rabi,Silty,1.16,8.1,77.7,550.3,26.7,Flood,50.5,1.01,Local,Conventional,8,1,0,571,217,0
Sugarcane,Rabi,Black,5.14,8.4,50.5,560.8,19.6,Sprinkler,71.1,7.24,Local,Conventional,34,0,0,26634,28860,1
Maize,Rabi,Clay,13.57,5.6,47.2,1413.4,41.7,Sprinkler,21,5.56,Local,Conventional,4,0,0,2780,1414,0
Wheat,Rabi,Loamy,10.2,7.5,36.7,1140.6,18.9,Rainfed,98.6,5.04,Hybrid,Conventional,31,1,0,2898,3018,1
Rice,Rabi,Loamy,1.1,5.1,77.5,950.3,33.7,Flood,50.7,2.62,Hybrid,Organic,38,1,0,2994,3637,1
Rice,Kharif,Loamy,16.29,6.4,28.6,1042,28.6,Rainfed,81.3,7.2,Hybrid,Organic,3,1,1,2152,2592,1
Rice,Kharif,Loamy,15.68,6.8,54.8,238.1,40.8,Flood,89.8,2.31,Local,Mixed,35,0,0,3225,4002,1
Wheat,Kharif,Black,11.42,7,37,1003.5,23.9,Drip,33.1,5.75,Hybrid,Conventional,19,0,0,2492,3601,1
Maize,Kharif,Silty,2.26,8.3,36.7,862.4,30.8,Flood,107.3,2.91,Hybrid,Mixed,29,1,0,2154,3475,1
Maize,Zaid,Sandy,15.56,7.4,44.3,909.5,29.6,Sprinkler,77.8,9.58,Certified,Organic,10,1,1,1879,2857,1
Rice,Kharif,Loamy,12.09,6.7,79.9,667.3,34.9,Flood,57.2,0.77,Certified,Conventional,12,0,0,2153,2526,1
Cotton,Zaid,Black,15.86,7.8,23.3,305.9,19.6,Drip,30.1,2.4,Local,Conventional,30,0,0,330,285,0
Maize,Kharif,Black,15.28,8.3,54.7,451.3,22.7,Rainfed,113.7,2.8,Certified,Mixed,30,0,1,2170,1729,0
Maize,Kharif,Black,16.26,5.1,25,1436,23.1,Drip,93.1,4.43,Hybrid,Mixed,18,0,0,2229,3071,1
Maize,Rabi,Clay,10.84,8.4,29.3,731.3,35.7,Rainfed,32.9,2.71,Certified,Organic,24,0,1,2175,1429,0
Wheat,Rabi,Sandy,3.67,5.3,46.4,806.7,22.5,Rainfed,47.1,5.17,Local,Mixed,32,1,1,1919,1406,0
Rice,Rabi,Clay,13.75,7.9,50.6,268.5,31.8,Flood,99.1,8.79,Certified,Organic,9,1,1,3345,3712,1
