Crop Type,Season,Soil Type,Farm Size,Soil Ph,Soil Moisture (%),Rainfall (mm),Avg Temperature (°C),Irrigation Type,Fertilizer Used (kg),Pesticide Used (kg),Seed Quality,Farming Practice,Farmer Experience (years),Access to Credit,Govt. Subsidy Received,Expected Yield (kg per acre),Actual Yield (kg per acre),Yield Success
Rice,Zaid,Loamy,9.33,7.5,66.9,1183.8,24.7,Flood,91.9,1.82,Hybrid,Conventional,37,0,1,2717,4824,1
Rice,Kharif,Clay,16.94,5.4,62.2,631.6,33.4,Flood,15.2,0.53,Hybrid,Mixed,17,1,1,2514,4346,1
Rice,Zaid,Silty,4.05,7.9,70.1,1167.8,34.6,Drip,34.1,2.83,Local,Mixed,28,1,1,2561,2883,1
Rice,Kharif,Silty,1.47,7.3,23.4,397.6,38.9,Sprinkler,87.7,7.19,Hybrid,Conventional,18,1,0,2257,3268,1
Rice,Rabi,Loamy,9.53,7.4,64.9,369.4,26.2,Rainfed,96.1,1.44,Certified,Organic,33,0,0,3288,2650,0
Rice,Kharif,Sandy,5.51,6.3,71.1,649.3,36.5,Rainfed,60.1,9.13,Certified,Organic,15,0,0,2209,3302,1
Sugarcane,Zaid,Loamy,1.94,8.1,37.2,1250,31.5,Drip,86.8,2.54,Certified,Organic,22,1,1,34275,48140,1
Rice,Zaid,Silty,14.77,7.5,58.4,520.3,39.2,Flood,52.7,2.44,Certified,Conventional,27,1,0,3038,3916,1
Wheat,Rabi,Clay,3.12,5.4,38.8,282.2,30.7,Sprinkler,27.6,2.22,Local,Organic,37,1,0,2034,2254,1
Wheat,Rabi,Black,12.56,6.4,77.5,371.2,30.4,Drip,53.8,0.63,Certified,Conventional,32,1,0,2523,1314,0
Cotton,Kharif,Loamy,6.34,8.1,22,1316.4,31.9,Sprinkler,73.8,7.83,Certified,Mixed,19,0,0,484,619,1
Rice,Kharif,Loamy,4.3,5.2,54.8,1023.9,36,Drip,114.3,8.81,Certified,Conventional,28,1,1,3465,3826,1
Wheat,Kharif,Clay,8.22,8.4,30,529.2,41.2,Flood,17.6,6.33,Hybrid,Mixed,28,0,0,1579,2748,1
Cotton,Kharif,Clay,16.23,7.4,62.7,921.9,19.8,Flood,65.8,2.29,Hybrid,Mixed,10,0,1,432,224,0
Sugarcane,Rabi,Sandy,8.45,7.2,30.6,885.9,19.3,Drip,46.2,3.21,Certified,Conventional,20,0,1,39964,29158,0
Sugarcane,Kharif,Loamy,15.26,5.9,34.1,1052.1,40.5,Drip,65.9,5.02,Certified,Mixed,25,0,0,25482,47767,1
Rice,Zaid,Black,3.38,5.9,49.7,503.1,30.7,Rainfed,12.6,9.57,Certified,Mixed,21,1,0,2473,2467,0
Rice,Rabi,Clay,15.68,8.3,74.9,1323.7,32.8,Drip,44.4,2.85,Hybrid,Conventional,14,1,0,3313,1897,0
Maize,Rabi,Loamy,5.5,6,32.7,602.2,29.6,Flood,100.2,7.45,Certified,Conventional,22,1,0,2665,3694,1
Cotton,Kharif,Loamy,13.87,7.7,28.7,1102.4,20.2,Sprinkler,70.9,4.67,Local,Conventional,26,1,1,431,376,0
Maize,Zaid,Clay,11.75,6.4,65.5,221,36.4,Flood,59.6,3.33,Hybrid,Mixed,11,1,1,2648,4062,1
Maize,Zaid,Clay,18.65,5.5,50,684.5,35.9,Sprinkler,41.4,4.83,Certified,Conventional,7,1,1,2139,2185,1
Rice,Rabi,Loamy,8.36,5,74.7,657.2,25.5,Drip,42.8,1.18,Hybrid,Organic,17,0,0,2800,3984,1
Sugarcane,Rabi,Loamy,2.26,6.9,28.8,906.5,25.3,Sprinkler,52.1,8.09,Certified,Conventional,18,1,0,35180,21217,0
Rice,Rabi,Loamy,1.36,8.4,58.8,294.6,38.1,Drip,101.9,2.81,Hybrid,Conventional,7,0,1,3263,4680,1
Wheat,Kharif,Sandy,16.71,6.3,34,1227.2,19.7,Flood,116.4,7.39,Certified,Conventional,20,0,0,2293,1376,0
Wheat,Rabi,Sandy,10.97,6.3,29.4,483.1,39.1,Flood,58.3,1.15,Hybrid,Mixed,38,0,1,1932,3148,1
Wheat,Kharif,Clay,15.73,6.2,61,1080.1,24.2,Sprinkler,53.3,9.57,Local,Conventional,11,1,0,2082,1516,0
Rice,Kharif,Loamy,5.45,6.8,55.6,1244.2,32.2,Drip,103.1,2.33,Local,Mixed,16,1,0,2133,2278,1
Rice,Kharif,Black,7.56,6.5,65.3,930.4,40.5,Flood,57,8.89,Certified,Mixed,27,1,1,2116,2930,1
Maize,Kharif,Sandy,1.57,8.1,38.6,1163.1,34.3,Flood,70.7,8.19,Certified,Conventional,11,1,0,3017,2916,0
Rice,Kharif,Silty,19.27,6.8,46.9,1060.4,27.9,Rainfed,35.4,9.69,Hybrid,Organic,16,1,0,2178,3670,1
Maize,Kharif,Loamy,13.69,6.8,44.3,662.2,34.5,Flood,91.8,5.04,Local,Mixed,23,0,0,2368,3581,1
Rice,Zaid,Silty,18.73,5.5,79,1251.5,26.3,Flood,68.5,7.41,Local,Mixed,12,1,0,2279,2171,0
Wheat,Rabi,Silty,6.04,8.4,37.5,583.1,24.7,Flood,99,4.02,Certified,Organic,3,1,1,2739,2903,1
Wheat,Zaid,Sandy,12.62,5.9,37.7,942.6,41.9,Rainfed,95.9,2.25,Certified,Conventional,2,0,0,2111,2250,1
Rice,Kharif,Black,13.89,5.3,41.3,1169,36,Rainfed,33.7,4.71,Hybrid,Conventional,38,1,0,2480,3615,1
Wheat,Kharif,Clay,7.03,7.3,53.9,692.6,33.5,Sprinkler,88.7,2.07,Certified,Mixed,24,1,1,2151,1813,0
Rice,Rabi,Clay,17.11,7.1,35.1,593.6,26.5,Sprinkler,98,9.83,Certified,Mixed,29,0,1,2151,4116,1
Rice,Kharif,Silty,19,6.5,74.9,797.1,19.2,Sprinkler,48.1,1.41,Certified,Organic,34,1,0,2098,3629,1
Cotton,Kharif,Black,17.81,6.5,35.9,1263.4,18.7,Flood,29,6.1,Hybrid,Mixed,20,0,1,442,428,0
Wheat,Rabi,Clay,15.04,7.7,73.7,1408.9,31.3,Flood,10.3,6.45,Local,Organic,18,1,0,2897,2115,0
Sugarcane,Kharif,Loamy,6.27,5.7,26.2,908.6,36.3,Flood,59.6,5.61,Local,Mixed,14,0,0,31278,20987,0
Rice,Rabi,Clay,6.35,7.9,59.4,1059.9,30.9,Drip,48.8,6.79,Hybrid,Conventional,18,1,0,2784,2910,1
Maize,Rabi,Loamy,19.3,7.3,74.4,1374.3,38.2,Flood,71,1.6,Hybrid,Conventional,2,1,1,2060,2476,1
Sugarcane,Kharif,Silty,1.2,6.5,30.1,328.1,18.8,Rainfed,30.7,5.77,Local,Organic,1,0,1,36673,34938,0
Maize,Kharif,Sandy,14.6,6.6,78.1,501.7,26.8,Sprinkler,104.6,3.23,Certified,Organic,20,1,1,2461,3217,1
Wheat,Rabi,Loamy,14.42,5.9,47.2,1121.6,23.7,Flood,38.4,9.43,Hybrid,Conventional,34,1,0,2450,1428,0
Wheat,Rabi,Loamy,12.83,7.6,76.7,1270.9,28.7,Flood,34.9,7.74,Hybrid,Conventional,11,1,0,1517,2005,1
Wheat,Kharif,Clay,19.81,6.8,60.6,1314.1,19.7,Rainfed,62.9,9.74,Certified,Organic,27,1,0,2620,1923,0
Cotton,Zaid,Loamy,6.93,6.1,38.1,739.6,40.9,Rainfed,64.9,0.86,Hybrid,Organic,23,1,0,462,516,1
Sugarcane,Kharif,Sandy,7.46,7.1,31.3,316.1,23.4,Flood,33.7,3.21,Certified,Organic,38,0,1,25834,40820,1
Cotton,Rabi,Black,2.5,8.5,38.2,769.1,40.1,Flood,39.9,2.36,Hybrid,Mixed,3,0,1,380,499,1
Rice,Zaid,Black,9.41,6.5,25.6,500,28.2,Rainfed,28.7,0.61,Certified,Mixed,12,0,0,2917,1933,0
Maize,Kharif,Clay,5.96,8.2,28.6,578.6,41.7,Flood,89,2.8,Certified,Organic,30,1,0,2183,2845,1
Cotton,Kharif,Black,7.52,6.2,26.3,1203.9,31.3,Sprinkler,94.7,6.95,Certified,Conventional,31,1,1,520,502,0
Rice,Kharif,Silty,16.86,5.2,45.4,298.2,40.3,Rainfed,60.9,2.7,Local,Organic,23,0,1,2623,1713,0
Rice,Kharif,Silty,18.77,5.7,67.7,1275.9,18.1,Sprinkler,88.5,5.34,Hybrid,Mixed,1,0,1,3117,4158,1
Maize,Kharif,Loamy,4.53,6.5,28.5,756,36,Sprinkler,91,8.93,Hybrid,Mixed,20,1,1,2839,2409,0
Maize,Rabi,Loamy,8.08,5.8,27.8,974.9,39.7,Rainfed,25.2,7.09,Hybrid,Conventional,6,1,0,1964,1914,0
Sugarcane,Kharif,Loamy,18.64,5,58.6,316.5,21.4,Flood,116.3,4.25,Hybrid,Mixed,11,1,0,26809,31305,1
Rice,Rabi,Clay,2.17,8.2,31.8,638.6,20.3,Flood,100.3,4.04,Certified,Mixed,35,1,0,3161,2477,0
Sugarcane,Zaid,Loamy,2.75,8,25.9,316.6,28.2,Sprinkler,32.5,4.83,Hybrid,Mixed,4,0,0,35021,50879,1
Rice,Rabi,Loamy,4.09,7.6,30,1450,40.4,Sprinkler,30.5,2.18,Certified,Conventional,29,1,0,2461,3883,1
Rice,Rabi,Loamy,12.31,5.6,75.4,1249.4,31,Sprinkler,23.8,6.52,Certified,Conventional,10,0,0,2891,3080,1
Rice,Kharif,Silty,3.86,5.4,69.3,797.5,30.7,Drip,25.2,3.96,Hybrid,Conventional,29,1,1,2088,3766,1
Sugarcane,Rabi,Loamy,19.39,5.2,41.2,490.7,21.4,Flood,92.3,8.6,Certified,Conventional,38,1,0,35912,40085,1
Maize,Rabi,Clay,9.49,7.5,59.3,1413.5,18,Sprinkler,61.7,7.69,Certified,Conventional,1,0,1,2675,1771,0
Wheat,Kharif,Black,10.53,8.3,52.2,648,37.4,Flood,96.1,6.3,Hybrid,Organic,8,1,1,2878,3452,1
Wheat,Kharif,Black,5.69,6.5,60.6,409.3,20.1,Sprinkler,92.1,3.96,Hybrid,Conventional,38,1,1,2349,2261,0
Sugarcane,Zaid,Silty,9.95,5.4,61,932.1,33.2,Rainfed,76.5,2.49,Hybrid,Conventional,17,0,0,28764,43482,1
Wheat,Kharif,Black,13.58,6.8,57.7,1426.9,40,Sprinkler,85.5,7.87,Hybrid,Conventional,19,0,1,2726,2194,0
Sugarcane,Kharif,Sandy,15.27,6.2,36,205,23,Drip,12,5.12,Hybrid,Conventional,33,0,1,25895,32886,1
Wheat,Kharif,Black,15.32,6.3,22.3,509.6,34,Drip,44.3,2.64,Hybrid,Mixed,15,1,0,1786,3014,1
Wheat,Kharif,Clay,11.98,7.2,47.3,1420,19.9,Flood,80.2,2.35,Certified,Mixed,31,1,0,2672,1864,0
Wheat,Rabi,Loamy,18.18,7.5,73.5,422.4,32.5,Flood,11,2.07,Certified,Conventional,21,0,0,2849,2050,0
Wheat,Rabi,Loamy,16.53,5.4,54.2,347.2,21.9,Flood,13.6,7.88,Hybrid,Conventional,3,1,0,1997,2177,1
Maize,Rabi,Clay,15.38,5.1,69.9,941.2,35.7,Flood,103.7,2.68,Certified,Conventional,2,0,1,2107,2421,1
Wheat,Kharif,Clay,2.06,8.5,79.5,1320.4,25.2,Drip,85.2,5.5,Local,Organic,35,1,1,1752,2276,1
Rice,Kharif,Sandy,1.13,5.8,29.8,820.2,29.1,Flood,39.2,4.79,Local,Mixed,16,1,0,2985,2842,0
Sugarcane,Rabi,Silty,5.04,5.2,61.5,1492.9,32.4,Flood,85.7,6.01,Certified,Conventional,21,0,0,25493,41139,1
Wheat,Kharif,Sandy,13.61,5.7,60.5,1082.9,22.1,Drip,97.2,8.83,Certified,Organic,12,1,0,2677,2248,0
Wheat,Kharif,Clay,8.81,5.1,78.8,296.3,35.8,Drip,43.7,8.74,Certified,Mixed,28,1,0,2326,3702,1
Cotton,Rabi,Black,8.65,6.4,79.1,1490.7,25.3,Drip,14,4.79,Certified,Organic,12,1,0,531,221,0
Maize,Kharif,Sandy,17.81,7.8,61.2,730.3,33.9,Drip,112.6,0.65,Certified,Conventional,33,1,0,2731,3923,1
Rice,Rabi,Loamy,18.02,6.2,34.6,573.6,21.8,Flood,48,4.55,Hybrid,Organic,20,1,1,2756,2952,1
Cotton,Kharif,Silty,18.27,6.6,67.9,925.2,34.5,Drip,21.7,6.26,Local,Organic,21,1,1,558,309,0
Maize,Kharif,Loamy,6.96,7.4,26.4,595.6,21.1,Sprinkler,64.1,5.8,Hybrid,Organic,39,1,0,2268,3928,1
Wheat,Kharif,Loamy,14.13,6.8,66.8,312.4,28.2,Drip,94.5,6.69,Certified,Organic,36,0,1,2730,2221,0
Rice,Zaid,Black,6.16,8,74.6,201.9,23.9,Rainfed,34.4,1.96,Hybrid,Conventional,22,1,1,3112,1766,0
Sugarcane,Rabi,Loamy,4.62,8,43,784.5,36,Rainfed,39.6,6.64,Hybrid,Mixed,26,0,1,35701,44581,1
Maize,Zaid,Loamy,4.51,5,57.8,1287.9,24.3,Sprinkler,36.7,2.24,Local,Conventional,7,1,1,2444,2423,0
Wheat,Rabi,Black,7.5,7.7,45.8,944,39.2,Sprinkler,119.1,7.63,Local,Mixed,7,0,1,1821,2850,1
Sugarcane,Kharif,Silty,9.17,6.6,46.3,1499,39.4,Sprinkler,31.7,3.72,Local,Conventional,8,1,1,36323,31243,0
Sugarcane,Rabi,Clay,16.79,8.5,38.6,572.9,22.7,Flood,73.3,7.24,Hybrid,Conventional,26,0,0,35404,23170,0
Rice,Rabi,Clay,3.28,6.7,65.7,564.6,32.7,Drip,111.8,0.95,Hybrid,Organic,24,0,0,2091,4141,1
Wheat,Rabi,Clay,14.96,8.5,76.2,407.7,20.1,Flood,26.2,4.37,Certified,Conventional,24,0,0,2598,2863,1
Rice,Kharif,Sandy,11.1,7.6,76.4,413.3,27.4,Flood,116.8,7.2,Hybrid,Conventional,12,0,0,3076,1766,0
Maize,Rabi,Loamy,6.47,5.9,30.5,570.7,35.1,Rainfed,114.2,2.66,Certified,Conventional,8,1,1,2273,3414,1
Rice,Kharif,Clay,10.36,6.9,72.5,1230.7,33.8,Drip,107.3,8.06,Hybrid,Mixed,9,0,1,2406,2636,1
Maize,Kharif,Black,6.7,8.5,64.2,1377.5,33,Rainfed,33.6,6.49,Hybrid,Conventional,3,0,1,1981,3529,1
Sugarcane,Rabi,Sandy,12.33,8,35.2,1467.6,24.8,Rainfed,79.7,6.08,Certified,Conventional,21,0,0,35163,39823,1
Sugarcane,Rabi,Loamy,9.24,5.3,24,502,27.1,Drip,93.7,3.86,Certified,Mixed,31,1,0,29785,50201,1
Wheat,Kharif,Sandy,4.12,7.5,36.1,1345.7,20.5,Sprinkler,118.5,5.08,Certified,Conventional,24,0,1,2340,2245,0
Sugarcane,Kharif,Silty,3.22,6.2,74.7,626.7,35.3,Drip,29.8,6.17,Certified,Conventional,4,1,1,28472,38391,1
Rice,Rabi,Clay,11.39,5,58,346.7,30.1,Sprinkler,94.3,4.99,Certified,Mixed,20,1,0,3451,2336,0
Sugarcane,Rabi,Loamy,18.15,6.4,63.3,1331,35,Sprinkler,47.3,7.13,Certified,Conventional,16,1,0,39852,38140,0
Rice,Zaid,Black,7.54,5.8,35.4,1026.9,24,Flood,29.3,4.62,Certified,Organic,10,1,0,2180,1644,0
Wheat,Zaid,Loamy,14.93,7.9,63.2,414.2,25.8,Flood,56.4,2.42,Certified,Conventional,26,0,1,2234,1904,0
Sugarcane,Rabi,Sandy,13.51,6.2,21.7,758.8,26,Rainfed,97.3,2.53,Local,Conventional,29,0,1,32186,23736,0
Rice,Kharif,Loamy,18.7,7.9,42.5,573.4,18.6,Drip,61.1,0.56,Certified,Conventional,5,0,0,2925,2885,0
Rice,Rabi,Clay,16.6,5,57.6,1157.8,26.2,Rainfed,69.1,3.36,Certified,Organic,11,0,0,2940,2355,0
Maize,Kharif,Clay,11.77,6.1,28.8,789.4,37.3,Sprinkler,119.5,7.61,Hybrid,Mixed,29,1,0,3114,3813,1
Maize,Kharif,Loamy,13.48,5.8,69.4,1486.1,39.5,Rainfed,53.9,8.04,Local,Mixed,15,0,0,2200,3405,1
Maize,Rabi,Loamy,18.07,5.8,34.1,271.2,30.4,Sprinkler,77.7,2.42,Hybrid,Conventional,6,1,0,1964,3936,1
Maize,Kharif,Clay,8.59,5.2,59.1,661.5,28.9,Drip,50.2,9.61,Certified,Conventional,15,0,0,1928,3209,1
Wheat,Zaid,Black,7.21,5.7,44.3,826.5,18.7,Rainfed,53.2,5.27,Hybrid,Mixed,20,0,1,2094,2565,1
Rice,Rabi,Black,1.21,6.9,55.8,854.1,39.1,Sprinkler,86.5,9.21,Hybrid,Organic,34,0,1,2615,2644,1
Wheat,Rabi,Silty,16.7,6,26.4,610.7,18.3,Flood,113.2,7.21,Hybrid,Conventional,2,1,0,1903,3540,1
Rice,Rabi,Black,16.22,6.5,21,1148,40.7,Flood,69.7,7.36,Hybrid,Conventional,16,0,1,2262,3984,1
Cotton,Zaid,Loamy,2.98,6.3,74.6,1337.2,29.7,Flood,94.5,1.31,Local,Mixed,19,1,0,513,565,1
Maize,Rabi,Black,11.96,8.1,36.2,1420.3,26.2,Flood,19.8,2.59,Local,Organic,34,1,0,1824,2629,1
Wheat,Rabi,Clay,9.82,8.2,69.2,1246.6,40.2,Flood,33.2,0.58,Hybrid,Mixed,14,0,0,2192,3777,1
Wheat,Kharif,Black,3.26,6.7,80,1305.8,18.6,Drip,65.2,7.3,Hybrid,Conventional,24,1,1,2315,2238,0
Cotton,Rabi,Black,19.63,6.2,32.7,915.7,32,Flood,12.2,3.77,Hybrid,Conventional,28,0,1,469,227,0
Rice,Kharif,Silty,5.08,5.4,35.9,1273.7,31.2,Rainfed,37.8,7.97,Local,Conventional,32,1,0,2705,3444,1
Maize,Rabi,Black,2.28,8.3,59.8,594.6,23.3,Drip,66.9,3.72,Certified,Organic,37,1,0,2369,2150,0
Wheat,Rabi,Sandy,12.3,5.2,77.9,718,28.3,Drip,11.6,8.28,Local,Mixed,10,0,0,2812,2959,1
Maize,Rabi,Loamy,15.04,6,74.9,612,33.7,Flood,39.1,1.74,Certified,Mixed,9,1,0,1925,3670,1
Rice,Kharif,Loamy,1.62,6,50.2,807.6,35.5,Flood,66.5,2.15,Hybrid,Conventional,24,1,1,2178,3696,1
Sugarcane,Kharif,Sandy,13.52,6.1,67.7,571.3,18,Flood,73,3.74,Local,Mixed,36,1,0,29588,40107,1
Cotton,Rabi,Clay,11.11,5.6,28.1,1450.1,40.5,Drip,111.8,4.38,Certified,Mixed,29,1,0,548,760,1
Maize,Kharif,Sandy,2.96,7.7,78.6,606.7,21.9,Flood,81,3.81,Hybrid,Conventional,29,0,0,2068,3029,1
Maize,Kharif,Black,4.28,5.4,77.9,327.5,23.6,Drip,55.6,7.75,Certified,Conventional,23,1,1,2014,3908,1
Cotton,Kharif,Clay,11.79,7.2,29.8,884.9,24.3,Flood,112.3,1.42,Hybrid,Conventional,27,0,1,335,631,1
Maize,Zaid,Silty,6.63,5.4,38,274.2,18.9,Rainfed,96.3,3.84,Certified,Conventional,31,0,0,2615,1732,0
Rice,Rabi,Black,18.83,5.2,26,343.7,21,Sprinkler,32,8.45,Hybrid,Organic,7,1,0,3147,2215,0
Maize,Kharif,Black,16.56,8.2,36.3,485.2,41.7,Flood,24.4,1.13,Hybrid,Conventional,4,0,0,2453,3549,1
Maize,Kharif,Black,19.69,5.7,69,803.7,25.6,Rainfed,84.3,9.45,Local,Organic,14,0,1,2135,2655,1
Wheat,Kharif,Sandy,5.93,7.9,42.7,763.2,20.8,Flood,71.6,9.87,Local,Mixed,10,1,1,2516,1711,0
Maize,Rabi,Black,19.42,6.9,25.3,1239.6,20.6,Rainfed,96.9,1.34,Certified,Mixed,34,1,0,2749,2857,1
Cotton,Rabi,Silty,9.19,5.3,40.5,1161.3,35.3,Flood,91.3,3.27,Hybrid,Conventional,26,1,1,310,776,1
Cotton,Kharif,Clay,7.6,8.3,78.9,754.2,38.5,Rainfed,78.8,4.04,Certified,Conventional,23,0,0,387,537,1
Wheat,Kharif,Loamy,1.96,5.9,57.8,633.8,24.2,Drip,118.5,7.88,Certified,Conventional,9,0,0,2255,1920,0
Rice,Kharif,Silty,2,8,45,611.4,18.5,Drip,68.7,6.16,Certified,Conventional,37,1,0,2311,2985,1
Cotton,Rabi,Loamy,14.15,5.6,30,1206.2,23.4,Sprinkler,22.4,6.62,Local,Conventional,8,0,1,346,475,1
Sugarcane,Rabi,Sandy,9.7,8,79.2,267.7,19.4,Flood,101.1,7.7,Local,Conventional,14,0,0,36762,34440,0
Rice,Kharif,Silty,5.3,5,69.3,216.7,20.5,Rainfed,37.7,1.62,Certified,Conventional,7,0,1,2338,1904,0
Cotton,Kharif,Clay,12.67,6.8,36.9,1234.2,28.4,Sprinkler,95.5,8.42,Certified,Organic,7,0,1,584,275,0
Sugarcane,Kharif,Sandy,5.8,7.7,24.2,820.3,23.5,Flood,115.3,7.2,Certified,Organic,9,1,0,33681,27563,0
Wheat,Zaid,Silty,11.98,8.3,23.4,370.1,30.4,Flood,86.6,5.98,Hybrid,Organic,3,0,0,1506,1877,1
Maize,Kharif,Loamy,7.82,8.2,27.2,506.2,24.1,Flood,75.6,8.95,Hybrid,Mixed,14,0,0,2611,2535,0
Wheat,Rabi,Clay,16.65,7.9,54.8,1412.3,40.6,Sprinkler,60.6,7.15,Certified,Mixed,17,0,1,1817,2734,1
Rice,Rabi,Clay,16.59,8.1,75.7,1317.4,39.7,Flood,50.1,2.42,Local,Conventional,22,1,1,3188,1690,0
Wheat,Kharif,Loamy,10.07,5.7,49.8,1122.7,31.6,Sprinkler,48.8,4.58,Certified,Conventional,26,1,1,2643,2369,0
Sugarcane,Kharif,Black,7.67,6,70.6,826.9,26.5,Drip,80,5.19,Local,Organic,28,1,1,33048,35858,1
Rice,Kharif,Loamy,7.89,6,46.8,876.4,27.1,Rainfed,92.6,1.02,Hybrid,Conventional,14,1,0,3307,1839,0
Wheat,Rabi,Sandy,16.31,6.3,62.5,1467.8,27.9,Drip,84.6,9.57,Hybrid,Organic,9,0,1,2918,2413,0
Wheat,Rabi,Loamy,7.24,6.4,63.9,1455.5,35.5,Drip,31.8,1.72,Local,Conventional,26,1,0,2788,2578,0
Wheat,Rabi,Loamy,4.97,6.9,30.4,479.8,28.8,Rainfed,64.3,7.13,Local,Mixed,2,0,1,1715,2609,1
Cotton,Rabi,Black,2.61,5.6,41.7,1254.4,38.6,Sprinkler,97.1,5.31,Certified,Organic,11,0,1,397,641,1
Wheat,Kharif,Silty,9.87,7.4,58.2,456.4,40.7,Flood,62.3,0.74,Certified,Mixed,17,0,0,1541,2553,1
Wheat,Zaid,Clay,10.16,5.6,24.2,477.6,26.1,Sprinkler,69,9.29,Local,Organic,34,1,1,2263,2589,1
Maize,Rabi,Loamy,16.98,6.1,41.7,1078.9,31.5,Sprinkler,94.8,8.59,Certified,Conventional,19,0,1,2898,3827,1
Wheat,Kharif,Clay,5.2,6.8,52.1,726.5,20.3,Sprinkler,82.7,5.48,Certified,Organic,39,0,1,1622,2171,1
Rice,Zaid,Loamy,8.24,7.8,79.8,1411,22.8,Sprinkler,55,2.67,Hybrid,Conventional,18,0,1,2756,3228,1
Wheat,Rabi,Silty,16.36,7.6,48.5,315.7,27.9,Flood,108.5,1.66,Local,Organic,13,1,0,2290,2293,1
